t,v
0,0
0.1,0.1666666666666667
0.2,0.3333333333333333
0.3,0.5
0.4,0.6666666666666666
0.5,0.8333333333333333
0.6000000000000001,1
0.7000000000000001,1.166666666666667
0.8,1.333333333333333
0.9,1.5
1,1.666666666666667
1.1,1.833333333333333
1.2,2
1.3,2.166666666666667
1.4,2.333333333333333
1.5,2.5
1.6,2.666666666666667
1.7,2.833333333333333
1.8,3
1.9,3.166666666666667
2,3.333333333333333
2.1,3.5
2.2,3.666666666666667
2.3,3.833333333333333
2.4,4
2.5,4.166666666666666
2.6,4.333333333333333
2.7,4.5
2.8,4.666666666666666
2.9,4.833333333333333
3,5
3.1,5.166666666666667
3.2,5.333333333333334
3.3,5.5
3.4,5.666666666666667
3.5,5.833333333333334
3.6,6
3.7,6.166666666666667
3.8,6.333333333333334
3.9,6.5
4,6.666666666666667
4.100000000000001,6.833333333333334
4.2,7
4.3,7.166666666666667
4.4,7.333333333333334
4.5,7.5
4.600000000000001,7.666666666666667
4.7,7.833333333333334
4.800000000000001,8
4.9,8.166666666666666
5,8.333333333333334
5.100000000000001,8.5
5.2,8.666666666666666
5.300000000000001,8.833333333333334
5.4,9
5.5,9.166666666666666
5.600000000000001,9.333333333333334
5.7,9.5
5.800000000000001,9.666666666666666
5.9,9.833333333333334
6,10
6.100000000000001,10
6.2,10
6.300000000000001,10
6.4,10
6.5,10
6.600000000000001,10
6.7,10
6.800000000000001,10
6.9,10
7,10
7.100000000000001,10
7.2,10
7.300000000000001,10
7.4,10
7.5,10
7.600000000000001,10
7.7,10
7.800000000000001,10
7.9,10
8,10
8.1,10
8.200000000000001,10
8.300000000000001,10
8.4,10
8.5,10
8.6,10
8.700000000000001,10
8.800000000000001,10
8.9,10
9,10
9.1,10
9.200000000000001,10
9.300000000000001,10
9.4,10
9.5,10
9.600000000000001,10
9.700000000000001,10
9.800000000000001,10
9.9,10
10,10
10.1,10
10.2,10
10.3,10
10.4,10
10.5,10
10.6,10
10.7,10
10.8,10
10.9,10
11,10
11.1,10
11.2,10
11.3,10
11.4,10
11.5,10
11.6,10
11.7,10
11.8,10
11.9,10
12,10
12.1,10
12.2,10
12.3,10
12.4,10
12.5,10
12.6,10
12.7,10
12.8,10
12.9,10
13,10
13.1,10
13.2,10
13.3,10
13.4,10
13.5,10
13.6,10
13.7,10
13.8,10
13.9,10
14,10
14.1,10
14.2,10
14.3,10
14.4,10
14.5,10
14.6,10
14.7,10
14.8,10
14.9,10
15,10
15.1,10
15.2,10
15.3,10
15.4,10
15.5,10
15.6,10
15.7,10
15.8,10
15.9,10
16,10
16.1,10
16.2,10
16.3,10
16.4,10
16.5,10
16.6,10
16.7,10
16.8,10
16.9,10
17,10
17.1,10
17.2,10
17.3,10
17.4,10
17.5,10
17.6,10
17.7,10
17.8,10
17.9,10
18,10
18.1,10
18.2,10
18.3,10
18.4,10
18.5,10
18.6,10
18.7,10
18.8,10
18.9,10
19,10
19.1,10
19.2,10
19.3,10
19.4,10
19.5,10
19.6,10
